empresa-oikos	OIKOS
empresa-caledonia	CALEDONIA
sevillana	SEVILLANA
san-pablo-orquideas	SAN PABLO ORQUIDEAS
entreverde	ENTREVERDE
oikos-zipaquira	OIKOS ZIPAQUIRA
lumina-77	LUMINA 77
marianitas	MARIANITAS
infinitum-zentral	INFINITUM ZENTRAL.
antao	ANTAO
conjunto-residencial-cadiz	CONJUNTO RESIDENCIAL CADIZ
costa-azul	COSTA AZUL
oikos-balmora-vergel	OIKOS BALMORA VERGEL
santa-clara	SANTA CLARA
almax-malambo	ALMAX MALAMBO
almax-funza	ALMAX FUNZA
san-pablo-lirios	SAN PABLO LIRIOS
san-pablo-girasoles	SAN PABLO GIRASOLES
portonovo	PORTONOVO
oikos-entremontes	OIKOS ENTREMONTES
maio	MAIO
palma-real	PALMA REAL
panoramik-tunja	PANORAMIK TUNJA
calera-gardens	CALERA GARDENS
oikos-malambo	OIKOS MALAMBO
